"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTIPRE20UNK","PARTI192029","PARTI193039","PARTI194049","PARTI195059","PARTI196069","PARTI197079","PARTI198089","PARTI199099","PARTI200009","PARTI201019","PARTITOTAL"
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","ALABAMA",,,,,,,12.4,,,,,12.4
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","CALIFORNIA",,,,,,,,,,,,
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","KANSAS",,,,,15.9,,,,,,,15.9
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","LOUISIANA",2.58,,,78.56,81,41.92,0.49,0.01,5.55,5.41,,215.52
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MISSISSIPPI",,,,,,67.89,,6.22,0.22,0.65,,74.98
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","MONTANA",,,,,,,,,,4.07,,4.07
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NEW MEXICO",,,,,,,,,,4.33,,4.33
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","NORTH DAKOTA",,,,,,12.04,,5.42,1.15,,,18.61
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","OKLAHOMA",,,72.58,47.42,3.44,14.17,24.57,14.3,,25.05,,201.53
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","TEXAS",8.8,46.27,4.48,66.83,59.6,25.93,96.13,,4.84,2.98,,315.86
41089.4680092593,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","UTAH",,,,,,,,,,93.13,,93.13
41089.4680092593,2010,20110333,10345,300,"PLAINS PIPELINE, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW MEXICO",,,,,223.62,4.55,1.17,0.64,,0.01,,229.99
41089.4680092593,2010,20110333,10345,300,"PLAINS PIPELINE, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TEXAS",,,,,19.75,,,,2.86,4.06,,26.67
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ILLINOIS",0,12,19,179,38,5,1,15,2,1,0,272
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","INDIANA",0,11,7,150,79,3,2,3,2,1,0,258
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IOWA",0,0,53,214,176,1,2,1,1,1,0,449
41089.4680092593,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MICHIGAN",0,0,0,0,162,3,1,0,0,0,0,166
