"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTIPRE20UNK","PARTI192029","PARTI193039","PARTI194049","PARTI195059","PARTI196069","PARTI197079","PARTI198089","PARTI199099","PARTI200009","PARTI201019","PARTITOTAL"
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",,,,,,,294.06,,0.08,0.83,,294.97
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","OKLAHOMA",,,,33.29,4.03,,283.11,,,0.77,,321.2
41089.4680092593,2010,20110086,10087,4805,"EXPLORER PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TEXAS",,,,371.43,20.69,21.36,482.08,18.75,23.34,0.36,0.24,938.25
41089.4680092593,2010,20110280,10289,4906,"EXXONMOBIL PIPELINE CO","Crude Oil","INTERSTATE","LOUISIANA",0,0,0,0,434,152,318,106,97,54,0,1161
41089.4680092593,2010,20110280,10289,4906,"EXXONMOBIL PIPELINE CO","Crude Oil","INTERSTATE","TEXAS",0,0,0,0,0,6.1,0,0.74,153.85,0,0,160.69
41089.4680092593,2010,20110280,10289,4906,"EXXONMOBIL PIPELINE CO","Crude Oil","INTRASTATE","MONTANA",0,0,0,34,3,7,0,0,20,7,0,71
41089.4680092593,2010,20110280,10289,4906,"EXXONMOBIL PIPELINE CO","Crude Oil","INTRASTATE","TEXAS",0,0,0,45,97,26,5,47,72,4,0,296
41089.4680092593,2010,20110322,10334,4906,"EXXONMOBIL PIPELINE CO","HVL","INTRASTATE","LOUISIANA",0,0,0,0,146,93,53,47,201,19,0,559
41089.4680092593,2010,20110322,10334,4906,"EXXONMOBIL PIPELINE CO","HVL","INTRASTATE","TEXAS",0,0,42,33,141,432,275,150,164,130,0,1367
41089.4680092593,2010,20110308,10318,4906,"EXXONMOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","LOUISIANA",0,0,0,0,0,0,0,3,17,4,0,24
41089.4680092593,2010,20110308,10318,4906,"EXXONMOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,143,16,242,32,44,24,102,,603
41089.4680092593,2010,20110203,10205,4908,"ExxonMobil USProduction Company","CO2","INTRASTATE","TEXAS",0,0,0,0,0,0,0,24.95,0,0,0,24.95
41089.4680092593,2010,20110203,10205,4908,"ExxonMobil USProduction Company","CO2","INTRASTATE","WYOMING",0,0,0,0,0,0,0,160.48,0,0,0,160.48
41089.4680092593,2010,20110194,10196,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation","Crude Oil","INTERSTATE","CALIFORNIA",,,,,,,,,10.83,,,10.83
41089.4680092593,2010,20110194,10196,4908,"ExxonMobil Production Company, a division of Exxon Mobil Corporation","Crude Oil","INTRASTATE","ALABAMA",,,,,,,,17.9,33.56,,,51.46
41089.4680092593,2010,20110195,10197,4908,"ExxonMobil USProduction Company","HVL","INTRASTATE","TEXAS",0,0,0,0,0,8.49,0,0,0,0,0,8.49
41089.4680092593,2010,20110200,10202,4908,"ExxonMobil USProduction Company","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","ALABAMA",0,0,0,0,0,0,0,17.9,30.84,3.82,0,52.56
41089.4680092593,2010,20110200,10202,4908,"ExxonMobil USProduction Company","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,0,0,0,2.83,0,0,0,0,0,2.83
41089.4680092593,2010,20110212,11044,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC","Crude Oil","INTERSTATE","OKLAHOMA",0,0,0,0,15.87,0,14.59,0,0,0,0,30.46
41089.4680092593,2010,20110212,11044,5081,"COFFEYVILLE RESOURCES CRUDE TRANSPORTATION, LLC","Crude Oil","INTRASTATE","KANSAS",0,0,0,146.1,12.07,11.22,3.16,0,19.07,0,0,191.62
41089.4680092593,2010,20110060,10061,5320,"PROGRESS ENERGY FLORIDA","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","FLORIDA",,0,0,0,0,0,32.842,0,0.424,0.384,0,33.65
41089.4680092593,2010,20120105,11136,5524,"FOUR STAR OIL & GAS CO","Crude Oil","INTRASTATE","TEXAS",0,0,0,0,15.1,0,0,0,0,0,0,15.1
41089.4680092593,2010,20110326,10338,5656,"FRONTIER PIPELINE CO","Crude Oil","INTERSTATE","UTAH",,,,,,,,0.59,,,,0.59
41089.4680092593,2010,20110326,10338,5656,"FRONTIER PIPELINE CO","Crude Oil","INTERSTATE","WYOMING",,,,,,,,288.4,,,,288.4
41089.4680092593,2010,20110443,10476,6911,"GULF STATE PIPELINE CO INC","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,,,,36,,,,,36
41089.4680092593,2010,20110444,10478,7063,"HARBOR PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW JERSEY",,,,,80.46,,,,,,,80.46
41089.4680092593,2010,20110144,10146,7660,"HUNT CRUDE OIL SUPPLY CO","Crude Oil","INTERSTATE","ALABAMA",0,0,0,0,0,0,105,0,0,0,0,105
41089.4680092593,2010,20110144,10146,7660,"HUNT CRUDE OIL SUPPLY CO","Crude Oil","INTERSTATE","MISSISSIPPI",0,0,0,0,0,0,21.25,0,10.25,0,0,31.5
41089.4680092593,2010,20110144,10146,7660,"HUNT CRUDE OIL SUPPLY CO","Crude Oil","INTRASTATE","ALABAMA",0,0,0,0,0,8.31,0,0,23.08,4.45,0,35.84
41089.4680092593,2010,20110144,10146,7660,"HUNT CRUDE OIL SUPPLY CO","Crude Oil","INTRASTATE","MISSISSIPPI",0,0,0,0,0,22.8,0,0,12.4,2.2,0,37.4
41089.4680092593,2010,20110366,10384,8014,"IDAHO PIPELINE CORP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","IDAHO",,0,0,0,0,0,0,2,0,0,0,2
41089.4680092593,2010,20110123,10124,8166,"PPL INTERSTATE ENERGY CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","PENNSYLVANIA",,,0,0,0,0,0,48.9,0.1,0.4,0,49.4
41089.4680092593,2010,20110131,10132,8175,"INTERSTATE STORAGE & PIPELINE C0","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","NEW JERSEY",,,,,,,11.6,,,0.2,,11.8
41089.4680092593,2010,20110375,10394,9171,"MARKWEST JAVELINA PIPELINE COMPANY, LLC","HVL","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,35,0,0,35
41089.4680092593,2010,20110381,11505,9175,"JAYHAWK PIPELINE LLC","Crude Oil","INTERSTATE","KANSAS",347,0,46.6,18.8,366.4,113.9,17.6,0,3.7,56.2,0,970.2
41089.4680092593,2010,20110381,11505,9175,"JAYHAWK PIPELINE LLC","Crude Oil","INTERSTATE","NEBRASKA",0,0,0,0,0,0,0,0,0,29.1,0,29.1
41089.4680092593,2010,20110381,11505,9175,"JAYHAWK PIPELINE LLC","Crude Oil","INTERSTATE","OKLAHOMA",0,0,0,0,0,0,26.2,,23.5,2.9,,52.6
41089.4680092593,2010,20110381,11505,9175,"JAYHAWK PIPELINE LLC","Crude Oil","INTERSTATE","TEXAS",0,0,0,0,0,0,0,0,17.4,0,0,17.4
41089.4680092593,2010,20110381,11505,9175,"JAYHAWK PIPELINE LLC","Crude Oil","INTRASTATE","KANSAS",14.4,,15.3,52.6,137.4,,,,,,12.2,231.9
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","ARKANSAS",0,0,0,0,0,13.1,252.1,0,0.4,0.1,0,265.7
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","ILLINOIS",0,0,0,0,0,0,173.7,0,2.9,0.3,0.3,177.2
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","INDIANA",0,0,0,0,0,0,170.9,0,0,0,0,170.9
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","IOWA",0,0,0,0,0,0,428.3,10.9,0.1,0.2,0,439.5
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","LOUISIANA",0,0,0,0,0,208.6,143.4,36.5,0.2,6.7,0,395.4
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","MISSOURI",0,0,0,0,0,0,363.6,29.6,17.4,0.5,0.4,411.5
41089.4680092593,2010,20110172,10174,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","HVL","INTERSTATE","NEBRASKA",0,0,0,0,0,0.2,145.8,0,0,0.2,0,146.2
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IOWA",1,0,40.2,126.3,0,80.3,0.3,1.8,3.2,2,0.3,255.4
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","KANSAS",1.1,0,19.6,0,256.5,73.6,2.1,112.7,21.3,30.1,0.2,517.2
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MINNESOTA",0.1,0,0,224.5,3,2.9,1.1,0.1,2.9,1.1,0,235.7
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEBRASKA",0,0,70,0,246.9,185.9,0.4,241.4,5.8,6.1,0,756.5
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NORTH DAKOTA",0,0,0,0,197.4,65,3,0,1.1,2.1,0,268.6
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","SOUTH DAKOTA",0,0,0.5,34,4,233.6,36.6,0.5,0.7,1.2,0,311.1
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","OREGON",0,0,0,0,0,0,10.6,0,0,0.1,0,10.7
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","WASHINGTON",0,0,0,0,0,0,0,0,4.2,0,0,4.2
41089.4680092593,2010,20110173,10175,10012,"NUSTAR PIPELINE OPERATING PARTNERSHIP L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","WYOMING",0,0,0,0,0,0,0,6.8,0,0,0,6.8
41089.4680092593,2010,20110137,10138,10250,"KIANTONE PIPELINE CORP","Crude Oil","INTERSTATE","NEW YORK",,,,,,,64.66,0.07,,0.2,,64.93
41089.4680092593,2010,20110137,10138,10250,"KIANTONE PIPELINE CORP","Crude Oil","INTERSTATE","PENNSYLVANIA",,,,,,,13.3,,0.05,0.02,,13.37
41089.4680092593,2010,20110261,10267,10346,"KUPARUK TRANSPORTATION CO","Crude Oil","INTERSTATE","ALASKA",,,,,,,,32.744,,4.118,,36.862
41089.4680092593,2010,20110078,10079,11032,"LACLEDE GAS CO","HVL","INTERSTATE","ILLINOIS",,,6,,,17,4,,,,,27
41089.4680092593,2010,20110078,10079,11032,"LACLEDE GAS CO","HVL","INTERSTATE","MISSOURI",,,,,2,9,,1,,,,12
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","ILLINOIS",,,,,76,120,,,115,139,,450
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","INDIANA",,,,,7,,91,,,6,,104
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","MICHIGAN",,,,,546,,293,,,,,839
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","MINNESOTA",,,,,283,283,117,,,557,,1240
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","NEW YORK",,,,,,24,,,,,,24
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","NORTH DAKOTA",,,,,28,28,,,,84,,140
41089.4680092593,2010,20110250,10255,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","Crude Oil","INTERSTATE","WISCONSIN",,,,,104,359,,,346,358,13,1180
41089.4680092593,2010,20110247,10252,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","HVL","INTERSTATE","MINNESOTA",,,,,,175,,,,108,,283
41089.4680092593,2010,20110247,10252,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","HVL","INTERSTATE","NORTH DAKOTA",,,,,,,,,,28,,28
41089.4680092593,2010,20110247,10252,11169,"ENBRIDGE ENERGY, LIMITED PARTNERSHIP","HVL","INTERSTATE","WISCONSIN",,,,,,13,,,,,,13
41089.4680092593,2010,20110226,10229,11272,"LAVACA PIPELINE CO","HVL","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,34.16,18.69,0,52.85
41089.4680092593,2010,20110199,10201,11551,"LION OIL TRADING & TRANSPORTATION, INC","Crude Oil","INTERSTATE","ARKANSAS",,,15,,,,,,,15,,30
41089.4680092593,2010,20110199,10201,11551,"LION OIL TRADING & TRANSPORTATION, INC","Crude Oil","INTERSTATE","LOUISIANA",,,3,,13,,,,,49.6,,65.6
41089.4680092593,2010,20110199,10201,11551,"LION OIL TRADING & TRANSPORTATION, INC","Crude Oil","INTRASTATE","ARKANSAS",,,32,,4.5,,3,,,,46,85.5
41089.4680092593,2010,20110199,10201,11551,"LION OIL TRADING & TRANSPORTATION, INC","Crude Oil","INTRASTATE","TEXAS",,184,,,3.5,,,,4.5,0.5,,192.5
41089.4680092593,2010,20110160,10162,11551,"LION OIL TRADING & TRANSPORTATION, INC","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","ARKANSAS",0,0,11,0,0,0,8,0,0,8.5,0,27.5
41089.4680092593,2010,20110336,10348,11733,"LOOP LLC","Crude Oil","INTERSTATE","LOUISIANA",,,,,,,,109.4,,3.1,,112.5
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","IOWA",,,,,,166,56,,,,,222
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","KANSAS",,,,,,238,130,,,,,368
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","MINNESOTA",,,,,,,45,,,,,45
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","NEBRASKA",,,,,,153.5,12,,0.5,,,166
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","OKLAHOMA",,,,,,54,167,,,,,221
41089.4680092593,2010,20110410,10433,12105,"Magellan Ammonia Pipeline, L.P.","HVL","INTERSTATE","TEXAS",,,,,,68,,,,,,68
41089.4680092593,2010,20110202,10204,12303,"McMoRan Oil & Gas LLC","Crude Oil","INTRASTATE","LOUISIANA",0,0,0,0,0,7.77,0,0,0,4.99,0,12.76
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","ARKANSAS",,,,,15,,,,,,,15
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","KENTUCKY",,,,,227,,,,,,,227
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","LOUISIANA",,,,,228,,,,,,,228
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","MICHIGAN",,,,,7,,,,,,,7
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","MISSISSIPPI",,,,,193,,,,,,,193
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","OHIO",,,,,233,,,,,,,233
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","TENNESSEE",,,,,153,,,,,,,153
41089.4680092593,2010,20110354,10366,12470,"MID - VALLEY PIPELINE CO","Crude Oil","INTERSTATE","TEXAS",,,,,47,,,,,,,47
41089.4680092593,2010,20110356,10457,12624,"MOBIL CORP","Crude Oil","INTRASTATE","TEXAS",,,,,,,,,6,,,6
41089.4680092593,2010,20110358,10370,12624,"MOBIL CORP","HVL","INTRASTATE","TEXAS",,,,,17,14,114,26,21,14,0,206
41089.4680092593,2010,20110357,10369,12624,"MOBIL CORP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,0,0,0,6,24,0,0,2,0,32
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTERSTATE","ARKANSAS",0,0,0,292,0,4,0,0,0,2,0,298
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTERSTATE","ILLINOIS",0,0,0,75,0,0,0,0,0,2,0,77
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTERSTATE","MISSOURI",0,0,0,123,0,0,0,0,0,0,0,123
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTERSTATE","TEXAS",0,0,0,160,0,0,0,0,0,0,0,160
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTRASTATE","ILLINOIS",0,0,0,0,0,0,21.1,0,1,0.3,0,22.4
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTRASTATE","INDIANA",,,,,,1.1,,,,,,1.1
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTRASTATE","LOUISIANA",,,,,,,,,,,2.1,2.1
41089.4680092593,2010,20110343,10355,12628,"MOBIL PIPELINE CO","Crude Oil","INTRASTATE","TEXAS",0,2,0,0,165,0,38,21,0,32,0,258
41089.4680092593,2010,20110362,10380,12628,"MOBIL PIPELINE CO","HVL","INTERSTATE","LOUISIANA",0,0,0,0,54,0.5,0,0,0,0.5,0,55
41089.4680092593,2010,20110362,10380,12628,"MOBIL PIPELINE CO","HVL","INTERSTATE","TEXAS",0,0,0,0,0,1,0,0,0,0,0,1
41089.4680092593,2010,20110362,10380,12628,"MOBIL PIPELINE CO","HVL","INTRASTATE","OKLAHOMA",0,0,0,0,0,54,3,10,6,0,0,73
41089.4680092593,2010,20110362,10380,12628,"MOBIL PIPELINE CO","HVL","INTRASTATE","TEXAS",0,0,0,0,26,1,70,5,1,12,0,115
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","CONNECTICUT",0,0,22,0,0,0,0,0,0,0,0,22
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MASSACHUSETTS",0,33,9,32,0,14,0,0,0,0,1,89
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","RHODE ISLAND",,,13,,,,,,,,,13
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","ILLINOIS",0,0,0,0,0,0,3,0,0,0,0.3,3.3
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","LOUISIANA",0,0,0,0,0,1.7,0,0,0,0,0,1.7
41089.4680092593,2010,20110360,10373,12628,"MOBIL PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","MAINE",0,0,0,0,0,0,0,99,1,24.5,0,124.5
41089.4680092593,2010,20110355,10367,12634,"MOBIL CHEMICAL CO","HVL","INTRASTATE","TEXAS",13,,,,119,198,20,6,8,59,,423
41089.4680092593,2010,20110424,10449,12913,"Murphy Oil USA, Inc.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WISCONSIN",0,0,0,0,3.977,0.283,0.37,0.278,0.653,0.019,0,5.58
41089.4680092593,2010,20110419,10444,14145,"OHIO OIL GATHERING CORP II","Crude Oil","INTRASTATE","OHIO",0,0,0,0,0,0,17.614,26.136,0,0,0,43.75
41089.4680092593,2010,20110021,10021,14194,"OILTANKING, HOUSTON LP","Crude Oil","INTRASTATE","TEXAS",,,,,,,,14.58,3.63,,2.1,20.31
41089.4680092593,2010,20110022,10022,14194,"OILTANKING, HOUSTON LP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,0,0,0,0,0,0,0,0,8.37,12.13,20.5
41089.4680092593,2010,20110396,10419,14391,"Osage Pipeline Company, LLC","Crude Oil","INTERSTATE","KANSAS",,,,,,,57,,0.5,3,,60.5
41089.4680092593,2010,20110396,10419,14391,"Osage Pipeline Company, LLC","Crude Oil","INTERSTATE","OKLAHOMA",,,,,,,75.25,,0.25,,,75.5
41089.4680092593,2010,20110299,10309,15156,"SINCLAIR TRANSPORTATION COMPANY","Crude Oil","INTRASTATE","WYOMING",,0,0,0,25,0,175,177,0,36,139,552
41089.4680092593,2010,20110338,10350,15156,"SINCLAIR TRANSPORTATION COMPANY","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","COLORADO",0,0,0,0,0,80,0,0,1,5,0,86
41089.4680092593,2010,20110338,10350,15156,"SINCLAIR TRANSPORTATION COMPANY","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IOWA",0,7,0,4,0,0,0,0,1,0,0,12
41089.4680092593,2010,20110338,10350,15156,"SINCLAIR TRANSPORTATION COMPANY","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",44,92,29,21,9,0,0,0,2,6,0,203
41089.4680092593,2010,20110338,10350,15156,"SINCLAIR TRANSPORTATION COMPANY","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","WYOMING",0,0,0,0,0,114,0,0,3,1,0,118
41089.4680092593,2010,20110338,10350,15156,"SINCLAIR TRANSPORTATION COMPANY","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","COLORADO",0,0,0,0,0,0,0,0,19,0,0,19
41089.4680092593,2010,20110091,10092,15485,"CONOCOPHILLIPS COMPANY","Crude Oil","INTRASTATE","TEXAS",,,,,,26.991,,28.357,,,,55.348
41089.4680092593,2010,20110093,10094,15485,"CONOCOPHILLIPS COMPANY","HVL","INTRASTATE","TEXAS",,,,,,27.883,85.249,,13.869,46.709,,173.71
41089.4680092593,2010,20110092,10093,15485,"CONOCOPHILLIPS COMPANY","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",,,,,36.551,,16.471,17.075,61.61,57.282,6.749,195.738
41089.4680092593,2010,20110061,10062,15645,"Placid Pipeline Company LLC","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","LOUISIANA",,,,5,,2,1,,,1,,9
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ALABAMA",,,,12.13,296,158.87,129.27,0.09,12.03,4.61,,613
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","GEORGIA",,,9.91,81.07,160.15,280.9,93.18,28.72,6.24,2.6,0.11,662.88
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","LOUISIANA",,,,76.59,106.09,0,4.74,1.21,0.28,0.25,0,189.16
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSISSIPPI",,,,16.47,330.17,120.01,266.78,0.13,0.8,0.54,0.9,735.8
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NORTH CAROLINA",,,,,107.39,104.35,100.58,4.19,1.12,2.16,,319.79
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","SOUTH CAROLINA",,,,,101.68,101.67,,,0.05,0.06,,203.46
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TENNESSEE",,,2.73,98.38,0.43,0.93,0.32,0.45,1.12,0.67,,105.03
41089.4680092593,2010,20110316,10378,15674,"PLANTATION PIPE LINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","VIRGINIA",,,0.9,0,0,309.46,1.12,15.23,10.67,2.38,0.38,340.14
41089.4680092593,2010,20110252,10257,15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","Crude Oil","INTERSTATE","MINNESOTA",,,,,,76,,,,,,76
41089.4680092593,2010,20110252,10257,15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","Crude Oil","INTERSTATE","MONTANA",,,,,,39,,,,,,39
41089.4680092593,2010,20110252,10257,15774,"ENBRIDGE PIPELINES (NORTH DAKOTA) LLC","Crude Oil","INTERSTATE","NORTH DAKOTA",,,,,,434,,64,,52,,550
41089.4680092593,2010,20110074,10075,15786,"PORTLAND PIPELINE CORP","Crude Oil","INTERSTATE","MAINE",,,,,72,72,,,,,,144
41089.4680092593,2010,20110074,10075,15786,"PORTLAND PIPELINE CORP","Crude Oil","INTERSTATE","NEW HAMPSHIRE",0,0,0,0,35.5,35.5,0,0,0,0,0,71
41089.4680092593,2010,20110074,10075,15786,"PORTLAND PIPELINE CORP","Crude Oil","INTERSTATE","VERMONT",0,0,0,0,58.5,58.5,0,0,0,0,0,117
41089.4680092593,2010,20110427,10452,15851,"DELEK MARKETING AND SUPPLY, LP","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,0,0,0,0,27,0,78,0,0,105
41089.4680092593,2010,20110075,10076,15915,"PIPELINES OF PUERTO RICO INCD, THE","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","PUERTO RICO",,0,0,0,0,8.5,0,0,0,1,0,9.5
41089.4680092593,2010,20110082,10083,15979,"ERGON TRUCKING, INC.","Crude Oil","INTERSTATE","OHIO",0,0,0,0,0,0,37,0,0,0,0,37
41089.4680092593,2010,20110082,10083,15979,"ERGON TRUCKING, INC.","Crude Oil","INTERSTATE","WEST VIRGINIA",0,0,0,0,0,0,1,0,0,0,0,1
