"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTKSTNR20MOREON","PARTKSTR20MOREON","PARTKST20MOREOFF","PARTKST20MORETOT","PARTKSTNR20LESSON","PARTKST20LESSOFF","PARTKST20LESSTOT","PARTKNSTNR125MOREON","PARTKNSTR125MOREON","PARTKNST125MOREOFF","PARTKNST125MORETOT","PARTKNSTNR125LESSON","PARTKNST125LESSOFF","PARTKNST125LESSTOT","PARTKNONRURALONTOTAL","PARTKRURALONTOTAL","PARTKOFFTOTAL","PARTKTOTAL"
41089.4660648148,2010,20110222,11089,31822,"SUNCOR ENERGY (USA) PIPELINE CO.","Crude Oil","INTRASTATE","COLORADO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110222,11089,31822,"SUNCOR ENERGY (USA) PIPELINE CO.","Crude Oil","INTRASTATE","WYOMING",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110094,10095,31822,"SUNCOR ENERGY (USA) PIPELINE CO.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","COLORADO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110059,10060,31824,"CALUMET LUBRICANTS CO., L.P.","Crude Oil","INTRASTATE","LOUISIANA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110032,10032,31847,"CALUMET LUBRICANTS CO., L. P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","LOUISIANA",0,6,,6,0,,0,0,0,,0,0,,0,0,6,,6
41089.4660648148,2010,20110291,10301,31849,"OGLETHORPE POWER CORPORATION","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","GEORGIA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110337,10504,31863,"HFOTCO LLC","Crude Oil","INTRASTATE","TEXAS",10.4,,,10.4,,,,,,,,,,,10.4,,,10.4
41089.4660648148,2010,20110458,10505,31863,"HFOTCO LLC","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",10.4,,,10.4,,,,,,,,,,,10.4,,,10.4
41089.4660648148,2010,20110276,10284,31864,"APACHE CORPORATION","Crude Oil","INTRASTATE","TEXAS",,,,,,5.72,5.72,,,,,,,,,,5.72,5.72
41089.4660648148,2010,20110249,10254,31869,"PRISM GAS SYSTEMS I, L.P.","HVL","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110368,10499,31871,"MARKWEST MICHIGAN PIPELINE, LLC","Crude Oil","INTRASTATE","MICHIGAN",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110233,10236,31874,"TESORO REFINING & MARKETING C O., GOLDEN EAGLE","Crude Oil","INTRASTATE","CALIFORNIA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110235,10238,31874,"TESORO REFINING & MARKETING C O., GOLDEN EAGLE","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110052,10258,31875,"MERIT ENERGY COMPANY","HVL","INTRASTATE","MICHIGAN",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110052,10258,31875,"MERIT ENERGY COMPANY","HVL","INTRASTATE","OKLAHOMA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110027,11034,31877,"WESTERN REFINING COMPANY, L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",5.45,,,5.45,,,,,,,,,,,5.45,,,5.45
41089.4660648148,2010,20110183,10185,31878,"BRIDGER PIPELINE LLC","Crude Oil","INTERSTATE","MONTANA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110183,10185,31878,"BRIDGER PIPELINE LLC","Crude Oil","INTERSTATE","NORTH DAKOTA",0,24,,24,0,,0,0,0,,0,0,,0,0,24,,24
41089.4660648148,2010,20110300,10310,31884,"ENBRIDGE PIPELINES (LOUISIANA LIQUIDS) L.L.C.","HVL","INTRASTATE","LOUISIANA",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110045,11135,31886,"DUKE ENERGY OHIO - LIQUID","HVL","INTRASTATE","OHIO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110044,10044,31887,"DUKE ENERGY KENTUCKY - LIQUID","HVL","INTRASTATE","KENTUCKY",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110432,10463,31888,"CENTURION PIPELINE L.P.","Crude Oil","INTERSTATE","NEW MEXICO",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110432,10463,31888,"CENTURION PIPELINE L.P.","Crude Oil","INTERSTATE","OKLAHOMA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110432,10463,31888,"CENTURION PIPELINE L.P.","Crude Oil","INTERSTATE","TEXAS",0,0.3,,0.3,0,,0,0,0,,0,0,,0,0,0.3,,0.3
41089.4660648148,2010,20110432,10463,31888,"CENTURION PIPELINE L.P.","Crude Oil","INTRASTATE","TEXAS",0,0,,0,12,,12,0,0,,0,0,,0,12,0,,12
41089.4660648148,2010,20110436,10468,31897,"Brown, Geo. R Partnership,L.P THE","CO2","INTERSTATE","TEXAS",,,,,7.7,,7.7,,,,,,,,7.7,,,7.7
41089.4660648148,2010,20110272,10278,31914,"SEMSTREAM, L.P.","HVL","INTRASTATE","ARKANSAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110272,10278,31914,"SEMSTREAM, L.P.","HVL","INTRASTATE","MONTANA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110015,11071,31919,"INERGY PROPANE, LLC","HVL","INTRASTATE","CALIFORNIA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110164,10166,31933,"CALCASIEU REFINING COMPANY","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","LOUISIANA",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
41089.4660648148,2010,20110003,11073,31937,"TPCO, LLC","Crude Oil","INTRASTATE","MISSISSIPPI",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110302,10312,31943,"ENBRIDGE GATHERING (NORTH TEXAS) L.P.","HVL","INTRASTATE","TEXAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110238,11006,31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","Crude Oil","INTERSTATE","ILLINOIS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110238,11006,31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","Crude Oil","INTERSTATE","KANSAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110238,11006,31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","Crude Oil","INTERSTATE","MISSOURI",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110238,11006,31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","Crude Oil","INTERSTATE","OKLAHOMA",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20110238,11006,31947,"ENBRIDGE PIPELINES (OZARK) L.L.C.","Crude Oil","INTRASTATE","OKLAHOMA",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20120021,11035,31957,"KINDER MORGAN WINK PIPELINE LLC","Crude Oil","INTERSTATE","TEXAS",,,,,,,,,,,,,,,,,,
41089.4660648148,2010,20120021,11035,31957,"KINDER MORGAN WINK PIPELINE LLC","Crude Oil","INTRASTATE","TEXAS",0,0,,0,0,,0,0,0,,0,0,,0,0,0,,0
