"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTF1A","PARTF1B","PARTF1C","PARTF1D","PARTF1E","PARTF2A","PARTF2B","PARTF2C1","PARTF2C2","PARTF2C3","PARTF2CTOT","PARTF3A","PARTF3B","PARTF3C","PARTF3D","PARTF4A","PARTF4B","PARTF4C1","PARTF4C2","PARTF4C3","PARTF4CTOT","PARTF5A","PARTF5B","PARTF5C1","PARTF5C2","PARTF5C3","PARTF5CTOT","PARTF6A","PARTF6B","PARTF6C","PARTGMBA","PARTGMRC","PARTGTOTMILES"
41089.4708333333,2010,20110214,10216,26112,"VALERO REFINING-TEXAS L.P.","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110377,10396,26120,"COLLINS PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20110310,10320,26125,"CALNEV PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE",,232,232,0,0,464,11,16,14,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464,16,14,0,400.67,400.67
41089.4708333333,2010,20110310,10320,26125,"CALNEV PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,2
41089.4708333333,2010,20110409,10432,26134,"EXXONMOBIL OIL CORP - WEST COAST","Crude Oil","INTRASTATE","CALIFORNIA",5,5,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,10,0,10
41089.4708333333,2010,20110384,10403,26134,"EXXONMOBIL OIL CORP - WEST COAST","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",55,22,0,0,77,56,9,4,1,4,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,9,9,0,63,63
41089.4708333333,2010,20110191,10193,26149,"ALYESKA PIPELINE SERVICE CO","Crude Oil","INTERSTATE",,0,0,0,0,0,7,7,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0
41089.4708333333,2010,20110099,10100,26302,"MUSTANG PIPELINE CO","HVL","INTRASTATE","TEXAS",0,44.5,0,0,44.5,1,1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,44.7,1,0,0,0,0
41089.4708333333,2010,20110116,10117,26303,"UNOCAL PIPELINE CO - EASTERN REGION","Crude Oil","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3,0,0,0,3.9,3.9
41089.4708333333,2010,20110394,10417,30005,"MOBIL PACIFIC PIPELINE CO","Crude Oil","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,25,25
41089.4708333333,2010,20110393,10416,30005,"MOBIL PACIFIC PIPELINE CO","Refined and/or Petroleum Product (non-HVL)","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41089.4708333333,2010,20120063,11092,30029,"BREITBURN OPERATING L.P.","Crude Oil","INTRASTATE","CALIFORNIA",0,0,0,0,0,0,0,,,,,0.28,0,0,0,0,0,,,,,0,0,,,,,0.28,0,0,,,
41089.4708333333,2010,20120060,11088,30544,"OCCIDENTAL CHEMICAL CORP","Refined and/or Petroleum Product (non-HVL)","INTERSTATE",,32.87,32.87,32.87,32.87,131.48,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.48,1,0,0,15,15
41089.4708333333,2010,20110411,10716,30657,"BRAVO PIPELINE COMPANY","CO2","INTERSTATE",,16,16,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0
41089.4708333333,2010,20110411,10716,30657,"BRAVO PIPELINE COMPANY","CO2","INTRASTATE","TEXAS",0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.7,0,0,0,0,0
