"DATAFILE_AS_OF","REPORT_YEAR","REPORT_NUMBER","SUPPLEMENTAL_NUMBER","OPERATOR_ID","PARTA2NAMEOFCOMP","PARTA5COMMODITY","INTER_INTRA","STATE_NAME","PARTHON4LESS","PARTHON6","PARTHON8","PARTHON10","PARTHON12","PARTHON14","PARTHON16","PARTHON18","PARTHON20","PARTHON22","PARTHON24","PARTHON26","PARTHON28","PARTHON30","PARTHON32","PARTHON34","PARTHON36","PARTHON38","PARTHON40","PARTHON42","PARTHON44","PARTHON46","PARTHON48","PARTHON50","PARTHON52","PARTHON54","PARTHON56","PARTHON58OVER","PARTHONADDITIONAL","PARTHONTOTAL","PARTHOFF4LESS","PARTHOFF6","PARTHOFF8","PARTHOFF10","PARTHOFF12","PARTHOFF14","PARTHOFF16","PARTHOFF18","PARTHOFF20","PARTHOFF22","PARTHOFF24","PARTHOFF26","PARTHOFF28","PARTHOFF30","PARTHOFF32","PARTHOFF34","PARTHOFF36","PARTHOFF38","PARTHOFF40","PARTHOFF42","PARTHOFF44","PARTHOFF46","PARTHOFF48","PARTHOFF50","PARTHOFF52","PARTHOFF54","PARTHOFF56","PARTHOFF58OVER","PARTHOFFADDITIONAL","PARTHOFFTOTAL"
41089.4687037037,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","TEXAS",1.76,3.45,45.58,141.21,26.74,0,96.93,0,0.02,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",315.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110334,11052,300,"PLAINS PIPELINE, L.P.","Crude Oil","INTRASTATE","UTAH",0,0,0,0,0,0,93.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",93.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110333,10345,300,"PLAINS PIPELINE, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","NEW MEXICO",0,131.94,98.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",229.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110333,10345,300,"PLAINS PIPELINE, L.P.","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","TEXAS",0,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",26.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","ILLINOIS",0,0,56,173,30,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",272,,,,,,,,,,,,,,,,,,,,,,,,,,,,," - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ;  - ; ",
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","INDIANA",0,0,151,5,90,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",0
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","IOWA",0,97,56,121,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",0
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MICHIGAN",0,3,0,123,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",0
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MINNESOTA",0,0,0,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",0
41089.4687037037,2010,20110192,10194,395,"AMOCO OIL CO","Refined and/or Petroleum Product (non-HVL)","INTERSTATE","MISSOURI",0,13,116,0,347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; 0 - 0; ",0
